"id","prioridad","trabajo","hallazgos","responsable_sugerido","dias_persona_min","dias_persona_max","dependencias","criterio_de_aceptacion","estado"
"T13","P1","Alinear costo, cuentas y conciliación de efectivo","N-02;N-10;N-12;N-19","Backend + responsable contable","5","9","T08;T09;T11","Costo de documento igual a Kardex; compras mixtas separan gasto/inventario; transferencias van a banco; no se suman arqueos históricos como saldo.","Propuesto; no implementado"
"T14","P1","Integrar pagos de eventos y libros auxiliares","N-15","Backend + responsable contable","8","14","T12;T13","Cuotas, auspicios, honorarios y demás pagos conservan cada abono y aparecen una vez en el consolidado.","Propuesto; no implementado"
"T15","P1","Corregir importación y reconciliar datos históricos","N-18;N-01;N-02;N-03;N-11;N-15","Backend + QA + responsable contable","6","10","T12;T13;T14;T19","Simulación identifica afectados; reparación por compensaciones tiene rollback/reinicio; importaciones no dejan sobrepago ni hechos sin conciliación.","Propuesto; no implementado"
"T16","P1","Versionar F29 y habilitar cierre/reapertura efectiva","N-13;N-14","Backend + responsable tributario","6","10","T12;T13;T15","Meses calculados fuera de orden coinciden; parámetros por vigencia; cerrado impide retroactividad y reapertura queda auditada.","Propuesto; no implementado"
"T17","P1","Distinguir origen fiscal, documentos internos y estados SII","OP-15","Backend + frontend + responsable tributario","3","5","T08;T16","UI/exportaciones identifican origen y estado; se preserva operación interna previa con transición explícita.","Propuesto; no implementado"
"T18","P1","Completar integración fiscal con proveedor y pruebas aplicables","OP-15","Backend + responsable tributario + proveedor","15","30","T17","Firma/envío/respuesta/reintentos/folios/intercambio verificados en entorno aplicable; validación fiscal formal antes de habilitar oferta completa.","Propuesto; no implementado"
"T19","P1","Completar exportación consistente y ensayar recuperación","OP-02;OP-03;OP-04","Plataforma + backend + QA","6","10","T01;T04","Exporta relaciones de negocio previstas y snapshot consistente; restauración BD/objetos/claves ensayada con RPO/RTO medidos.","Propuesto; no implementado"
"T20","P1","Persistir automatizaciones/crons y corregir correo autorizado","OP-05;OP-08;OP-09;OP-16","Backend + plataforma","7","12","T10","Outbox recuperable; cada empresa/tarea/período tiene estado; logged no cuenta como envío; destinatario conserva permiso efectivo.","Propuesto; no implementado"
"T21","P1","Resolver selección de catálogos y totales de formulario","UX-01;UX-03","Frontend + backend","3","5","T07;T08;T09","Se seleccionan registros fuera de primera página; vista previa coincide con monto guardado para afecto/exento.","Propuesto; no implementado"
"T22","P1","Corregir contexto de mensajería y respuestas fuera de orden","UX-04;UX-05;UX-06;UX-10","Frontend","3","6","T04;T07","Chat, borrador, adjuntos y destino coinciden; primer mensaje llega; filtros corresponden a filas; error de red permite recuperar.","Propuesto; no implementado"
"T23","P2","Completar navegación, permisos visibles y accesibilidad","UX-07;UX-08;UX-09;UX-12;UX-13","Frontend + QA","5","8","T05;T07","Teclado/hover/Enter coinciden; foco no escapa a menú oculto; formulario anuncia errores; controles respetan capacidades.","Propuesto; no implementado"
"T24","P2","Recuperar borradores y carritos con aislamiento de identidad","UX-11","Frontend","3","5","T10;T07","Recarga recupera trabajo; cambio de empresa/logout no expone borradores; restaurar no emite operaciones.","Propuesto; no implementado"
"T25","P2","Medir rendimiento, limitar exportaciones y operar alertas","OP-10;OP-12","Plataforma + backend + QA","5","9","T20","Pruebas de volumen entregan memoria/latencia/conexiones; exports grandes son asíncronos; fallos críticos llegan a alertas sin datos sensibles.","Propuesto; no implementado"
"T26","P2","Sanear artefactos y documentar runtime/proveedores/escritorio","OP-13;OP-14","Plataforma + mantenedor","3","5","T01","Datos versionados clasificados; documentación permite instalación limpia; dependencias runtime correctas; escritorio tiene alcance y distribución definidos.","Propuesto; no implementado"
"T27","P1","Pilotear, reconciliar y aprobar liberación por evidencia","Todos los P0/P1 del alcance habilitado","QA + producto + responsable contable","5","8","T06;T15;T16;T19;T20;T21;T22;T25","Piloto con reconciliación diaria, incidentes atendidos, rollback ensayado y cero P0/P1 abiertos en flujos habilitados; T18 obligatorio si se ofrece DTE completo.","Propuesto; no implementado"

